Start_Year,count,Genre,Total,Top_Anime
1987.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1988.0,3,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1989.0,5,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1990.0,3,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1991.0,2,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1992.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1993.0,2,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1994.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1995.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1996.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1997.0,6,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1998.0,2,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1999.0,4,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2000.0,5,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2001.0,2,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2002.0,3,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2003.0,4,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2004.0,10,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2005.0,4,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2006.0,7,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2007.0,6,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
